Application Number,Title,Abstract,Application Date,Classification,Country Name (Priority),Priority Number,Priority Date,Earliest Priority Date,Application Type (ID)
P6000261/2018,ATMOSPHERIC GREEN CORROSION INHIBITOR FOR METALS,,2018-02-18,There are no classifications,,,,2018-02-18,5
P6000251/2018,Manufacture of stones from damaged coins (QELADA),,2018-02-15,There are no classifications,,,,2018-02-15,5
P6000465/2018,Abnorm2-Lamps Abnormal Testing System,,2018-04-01,G01R 31/18,,,,2018-04-01,5
P6000335/2018,HALLOW PARKING SYSTEM (HPS),,2018-03-05,There are no classifications,,,,2018-03-05,5
P6000322/2018,NOZZLE FOR WELLBORE TUBULAR,,2018-03-01,E21B 17/00,,,,2018-03-01,5
P6000372/2018,photo law,,2018-03-13,There are no classifications,,,,2018-03-13,5
P6000581/2018,Float valve comprising a holding means,,2018-04-30,F16K 31/08,,,,2018-04-30,5
P6000465/2018,Abnorm2-Lamps Abnormal Testing System,,2018-04-01,G01R 31/18,,,,2018-04-01,5
P6000582/2018,Float valve comprising an attracting means,,2018-04-30,F16K 31/08,,,,2018-04-30,5
P6000580/2018,Float valve comprising a trigger mechanism,,2018-04-30,"F16K 25/02, F16K 31/18",,,,2018-04-30,5
P6000498/2018,Water saving device 70% to 80%,,2018-04-10,E03B 1/00,,,,2018-04-10,5
P6000683/2018,A method for casting a construction element and a mould for use in the method,,2018-05-17,B22D 15/02,,,,2018-05-17,5
P6000648/2018,Robot Metro Piping,,2018-05-11,There are no classifications,,,,2018-05-11,5
P6000901/2018,"SYSTEM, METHOD, AND COMPUTER PROGRAM PRODUCT FOR MULTI-LAYER ENCRYPTION OF AN EFFICIENT BROADCAST MESSAGE",,2018-07-01,There are no classifications,,,,2018-07-01,5
P6001118/2018,ALTERNATIVE POWER COOLER,,2018-06-04,B21D 53/02,,,,2018-06-04,5
P6000798/2018,Robot for Interviewing children using artificial intelligence,,2018-06-14,B25J 11/00,,,,2018-06-14,5
P6000900/2018,Composite Groynes - Timber logs fixed to steel tubular piles,,2018-06-30,"B27N 3/04, E04C 2/16",,,,2018-06-30,5
P6000881/2018,Energy Saving Air Conditioner,,2018-06-27,F24F 3/00,,,,2018-06-27,5
P6000913/2018,Arabian Doll,,2018-07-03,There are no classifications,,,,2018-07-03,5
P6000923/2018,AL KASHIF VEHICLE,,2018-07-05,B60S 11/00,,,,2018-07-05,5
P6000953/2018,A SMART INCENSE BURNER,,2018-07-12,A61L 9/03,,,,2018-07-12,5
P6000901/2018,"SYSTEM, METHOD, AND COMPUTER PROGRAM PRODUCT FOR MULTI-LAYER ENCRYPTION OF AN EFFICIENT BROADCAST MESSAGE",,2018-07-01,There are no classifications,,,,2018-07-01,5
P6000922/2018,Customs Clearance Vehicle,,2018-07-05,"B60K 1/00, B60L 1/00",,,,2018-07-05,5
P6001197/2018,A Lightening device for revelaing fingerprint,,2018-08-29,There are no classifications,,,,2018-08-29,5
P6001100/2018,ELCTAC -Electrical Laboratory Cyclic Timer and Controller,,2018-08-12,H05B 39/00,,,,2018-08-12,5
P6001241/2018,Mobile Library,,2018-09-05,There are no classifications,,,,2018-09-05,5
P6001242/2018,Incandescent 3D Traffic Board,,2018-09-05,There are no classifications,,,,2018-09-05,5
P6001252/2018,An Installation Methodology for GRP Pipe in Offshore,,2018-09-08,F01L 1/00,,,,2018-09-08,5
P6001243/2018,Children&#39;s chair in cars,,2018-09-05,There are no classifications,,,,2018-09-05,5
P6001284/2018,Air condition Unit with self cooling unit,,2018-09-13,There are no classifications,,,,2018-09-13,5
P6001457/2018,METHOD FOR CONSTRUCTING NON-SOIL-DISPLACEMENT PILE BY SOIL GELLING,,2018-10-21,E02D 5/46,,,,2018-10-21,5
P6001507/2018,Planting Device,,2018-10-31,There are no classifications,,,,2018-10-31,5
P6001384/2018,A MORTAR COOLING SYSTEM AND PROCESS,,2018-10-04,"B28D 5/04, B28D 7/02",,,,2018-10-04,5
P6001426/2018,Dubai Mark,,2018-10-11,G01S 19/51,,,,2018-10-11,5
P6001610/2018,Thermoelectrical battery integrated with solar charging,,2018-11-22,There are no classifications,,,,2018-11-22,5
P6001525/2018,PROCESS AND SYSTEM FOR DRY IMPROVEMENT OF IRON-OXIDE-ORE FINES AND SUPERFINES THROUGH A MAGNETIC SEPARATION UNIT.,,2018-11-01,"B03C 1/12, B03C 7/00",,,,2018-11-01,5
P6000046/2019,PIRAES,,2018-12-31,G01R 31/18,,,,2018-12-31,5
P6001797/2018,Receiving and transmitting new radio waves devise (BAM),,2018-12-19,H04B 1/44,,,,2018-12-19,5
P6001818/2018,Automated Aider,,2018-12-24,G01B 11/25,,,,2018-12-24,5
P6000047/2019,SELMCS-Switch Endurance Load Multichannel System,,2018-12-31,G01R 31/18,,,,2018-12-31,5
P6000045/2019,Preparing Samples Precious Metal Unit,,2018-12-31,G01N 27/00,,,,2018-12-31,5
P6001703/2018,STEEL TAPE ASSEMBLY FOR WALL MOUNTING,,2018-12-08,"A47G 1/17, F16B 1/00",,,,2018-12-08,5
P6001709/2018,The accident curtain ( Sary),,2018-12-09,There are no classifications,,,,2018-12-09,5
P6000968/2019,Seal Cutter Re-Design,,2018-12-25,B26D 1/09,,,,2018-12-25,5
P6000078/2019,System and Method for Creating Digital Models of Environment.,,2019-01-13,There are no classifications,,,,2019-01-13,5
P6000174/2019,MANUFACTURING METHOD OF SILICA NANOFLUID AND ENHANCED OIL RECOVERY USING THE SAME,,2019-01-31,"C09C 1/30, C09K 8/03",,,,2019-01-31,5
P6000147/2019,Fingerprint Protector Device,,2019-01-26,B42D 25/313,,,,2019-01-26,5
P6000117/2019,Masar Printing &amp; Publishing,,2019-01-21,There are no classifications,,,,2019-01-21,5
P6000043/2019,Chair for Garden and Public Area,,2019-01-08,There are no classifications,,,,2019-01-08,5
P6000033/2019,EUSTACHIAN TUBE DYSFUNCTION ASSESSMENT METHOD AND APPARATUS,,2019-01-07,There are no classifications,,,,2019-01-07,5
P6000001/2019,INDUSTRIAL MICROWAVE AND GAS OVEN WITH DOUBLE COOKING CHAMBER,,2019-01-02,H05B 6/60,,,,2019-01-02,5
P6000261/2019,DOCUMENT AUTHENTICATION SYSTEM,,2019-02-21,G07D 7/01,,,,2019-02-21,5
P6000183/2019,Robot inspector,,2019-02-03,There are no classifications,,,,2019-02-03,5
P6000262/2019,Dray Cooling Vest,,2019-02-21,There are no classifications,,,,2019-02-21,5
P6000197/2019,Novel Selective medium for Gram negative bacteria.,,2019-02-05,C12N 1/00,,,,2019-02-05,5
P6000439/2019,Innovation in Ice Cream,,2019-03-25,There are no classifications,,,,2019-03-25,5
P6000369/2019,Counter Forgery of Official Documents using PKI and 2D Bar Codes,,2019-03-14,There are no classifications,,,,2019-03-14,5
P6000339/2019,Device (Wadi),,2019-03-06,"G05B 19/042, G06N 5/04",,,,2019-03-06,5
P6000417/2019,Machine and method for forming an in ground granular column,,2019-03-21,E02D 3/08,,,,2019-03-21,5
P6000569/2019,A Robotic Arm,,2019-04-18,B25J 9/00,,,,2019-04-18,5
P6000486/2019,Disinfection machines and robot,,2019-04-04,B25J 9/16,,,,2019-04-04,5
P6000601/2019,TRASH BAG HOLDER CUM HANDLE,,2019-04-25,B65B 67/12,,,,2019-04-25,5
P6000623/2019,AQUEOUS STICK FORMULATION FOR TOPICAL APPLICATION,,2019-04-28,A61K 33/00,,,,2019-04-28,5
P6001064/2019,Military vehicle with a mobile unit and a robot unit,,2019-07-24,There are no classifications,,,,2019-07-24,5
P6001045/2019,Automatic fire alarm system,,2019-07-22,There are no classifications,,,,2019-07-22,5
P6001034/2019,A Public Street Booth,,2019-07-20,H01L 31/042,,,,2019-07-20,5
P6000984/2019,DUBAI Dubai Police General Head Quarters builaing,,2019-07-08,There are no classifications,,,,2019-07-08,5
P6001225/2019,Safe Bus,,2019-08-27,There are no classifications,,,,2019-08-27,5
P6001141/2019,Solar Powered Mobile Service VAN,,2019-08-08,There are no classifications,,,,2019-08-08,5
P6001355/2019,MOTION ALARM,,2019-09-25,G08B 25/10,,,,2019-09-25,5
P6001421/2019,A SYSTEM AND PROCESS OF LUGGAGE ATTENDING BASED ON RFID APPLICATION,,2019-10-03,G09F 9/00,,,,2019-10-03,5
P6001566/2019,Automatic Recognition of Plastic (3D-printed) threat in Baggage X-rays using Artificial Intelligence,,2019-11-05,There are no classifications,,,,2019-11-05,5
P6001649/2019,Container Handling Vehicle (Container Side Loader Trailer),,2019-11-20,B65G 1/04,,,,2019-11-20,5
P6001620/2019,InstaHelp,,2019-11-14,There are no classifications,,,,2019-11-14,5
P6001766/2019,LIGHT TRAPPING DYNAMIC PHOTOVOLTAIC MODULE,,2019-12-12,H01L 31/00,,,,2019-12-12,5
P6001839/2019,ALEC Super Beam - Scaffolding System,,2019-12-23,E04G 7/30,,,,2019-12-23,5
P6001723/2019,Gas Turbines Air Intake Cooling Systems Integrated Controller,,2019-12-05,There are no classifications,,,,2019-12-05,5
P6001777/2019,PERSONALIZED WELLNESS PLATFORM,,2019-12-15,There are no classifications,,,,2019-12-15,5
P6000035/2020,New Air Condition Unit,,2020-01-08,F24F 1/00,,,,2020-01-08,5
P6000080/2020,SMART AUTOMATIC FLUSH TOILET CONSTRUCTION,,2020-01-16,E03D 5/10,,,,2020-01-16,5
P6000042/2020,"Granulated Date Kernel Herbal Tea with/without Natural Color with Complete, Transparent, and Easy Liquor Extraction",,2020-01-09,A23F 3/22,,,,2020-01-09,5
P6000060/2020,A SYSTEM FOR MONITORING AND CONTROLLING A DYNAMIC NETWORK,,2020-01-14,"H04L 29/08, G05B 19/418, G05B 23/02",,,,2020-01-14,5
P6000202/2020,TURBAN for green energy,,2020-02-12,F24D 18/00,,,,2020-02-12,5
P6000200/2020,"Solar water brine recycling and evaporation system for production of water, salts and minerals.",,2020-02-11,There are no classifications,,,,2020-02-11,5
P6000246/2020,Variable orifice combustor,,2020-02-21,There are no classifications,,,,2020-02-21,5
P6000229/2020,ALMOSAAED,,2020-02-18,There are no classifications,,,,2020-02-18,5
P6000455/2020,"HANDLING SYSTEM, RELATED FLOATING DOCK, NAVAL PLATFORM AND HANDLING METHOD",,2020-03-29,B63B 23/10,,,,2020-03-29,5
P6000616/2020,A Simplified Method for Harvesting an Autologous Peripheral Blood Non-Hematopoietic Enriched Stem Cells Cocktail (PBNHE-SCC) from Adult Human Peripheral Blood,,2020-04-27,"A01N 1/02, C12N 5/078, C12N 5/074",,,,2020-04-27,5
P6000747/2020,Hitech Mechanical Ventilator,,2020-05-25,A61M 16/00,,,,2020-05-25,5
P6000735/2020,Smart Transformable Gloves,,2020-05-19,A41D 19/00,,,,2020-05-19,5
P6000872/2020,A SPACE FRAME AND AN ASSEMBLY THEREOF,,2020-06-13,B62D 27/02,,,,2020-06-13,5
P6000969/2020,Individual Isolation of Ventilation and Distancing Method,,2020-06-28,A61M 16/00,,,,2020-06-28,5
P6000823/2020,A METHOD FOR MANUFACTURING A STRUCTURAL COMPONENT FROM A SAND BASED COMPOSITE MATERIAL,,2020-06-04,"B29C 70/34, B29C 70/46",,,,2020-06-04,5
P6001085/2020,Smart Abaya,,2020-07-26,A41D 27/00,,,,2020-07-26,5
P6001086/2020,Innovated Extra-coronal Semi-Precision Attachment for partial removable denture,,2020-07-26,A61C 13/225,,,,2020-07-26,5
P6001087/2020,Innovated Extra-coronal rotational and vertical resilient Attachment for Partial Removable Denture,,2020-07-26,A61C 3/00,,,,2020-07-26,5
P6001042/2020,Disposable (single use) Infection Prevention/Protection Device/Appliance Unit; In addition to Automatic and Manual Exchanger Mechanisms/Systems,,2020-07-15,There are no classifications,,,,2020-07-15,5
P6001168/2020,Method and device for storing belongings,,2020-08-13,E05B 39/00,,,,2020-08-13,5
P6001388/2020,LIGHTWEIGHT PRECAST CONCRETE PANEL AND A METHOD THEREOF,,2020-10-01,"B21D 19/12, B01D 21/00",,,,2020-10-01,5
P6001247/2020,Frequency detector to detect the presence of Covid-19 and its severity,,2020-09-02,There are no classifications,,,,2020-09-02,5
P6001452/2020,Indoor furniture products from recycling,,2020-10-07,There are no classifications,,,,2020-10-07,5
P6001451/2020,Outdoor furniture products from recycling,,2020-10-07,There are no classifications,,,,2020-10-07,5
P6001464/2020,"Abu Dhabi, 2nd Zaid Street, opposite to Sheraton Khalidiya, same building as Al Raha Pharmacy, Al Mizan Floor, Office 3",,2020-10-18,There are no classifications,,,,2020-10-18,5
P6001506/2020,MODULAR FLOATING STRUCTURE FOR FLOATING SOLAR PHOTOVOLTAIC AND FLOATING WAVE HYBRID POWER PLANTS,,2020-10-27,F03B 13/14,,,,2020-10-27,5
P6001412/2020,air conditioning unit which has cooling by gas,,2020-10-06,F24F 1/04,,,,2020-10-06,5
P6001388/2020,LIGHTWEIGHT PRECAST CONCRETE PANEL AND A METHOD THEREOF,,2020-10-01,"B21D 19/12, B01D 21/00",,,,2020-10-01,5
P6001851/2020,Sharjah almajaz buhirah cornich Alfardan center office 102,,2020-12-22,There are no classifications,,,,2020-12-22,5
P6001746/2020,Self-Purifying Air Conditioning Unit,,2020-12-09,F24F 1/00,,,,2020-12-09,5
P6000034/2021,ELABORATION OF BUILDING AND TECHNICAL CERAMICS MADE OF COAL ASHES,,2021-01-07,There are no classifications,,,,2021-01-07,5
P6000022/2021,Anti-money laundering/combating terrorist financing surveillance,,2021-01-05,There are no classifications,,,,2021-01-05,5
P6000180/2021,Carpet ( Rug) with self sterilizing,,2021-02-04,There are no classifications,,,,2021-02-04,5
P6000217/2021,dubai the park place sheikh zayed st,,2021-02-16,There are no classifications,,,,2021-02-16,5
P6000242/2021,Nahid Herbal Oil,,2021-02-21,There are no classifications,,,,2021-02-21,5
P6000253/2021,Oxidation Reduction Mixture for Complex Hydrogen Thermal-Barochemical Stimulation of the Bottomhole Formation Zone,,2021-02-23,C09K 8/84,,,,2021-02-23,5
P6000561/2021,WATER REJUVENATION DEVICE,,2021-04-11,C02F 1/00,,,,2021-04-11,5
P6000652/2021,Wipes for Moisturizing,,2021-04-23,There are no classifications,,,,2021-04-23,5
P6000817/2021,the dancing palm,,2021-05-20,A63H 13/00,,,,2021-05-20,5
P6000810/2021,Biological Arabic Time Clock,,2021-05-20,G04C 17/00,,,,2021-05-20,5
P6000926/2021,Fakhah Shteet Mohammed Al Khaili,,2021-06-06,There are no classifications,,,,2021-06-06,5
P6001085/2021,QUANTITATIVE FORESIGHT SYSTEM AND METHOD FOR SCENARIO PLANNING AND DECISION MAKING,,2021-06-26,There are no classifications,,,,2021-06-26,5
P6000907/2021,"BIODEGRADGRADABLE DEVICES, AND METHODS OF MAKING THE SAME",,2021-06-02,C08L 101/16,,,,2021-06-02,5
P6001301/2021,Smart Employee Card for Fever Detection and Social Destining,,2021-07-28,H04N 21/4367,,,,2021-07-28,5
P6001302/2021,Innovated Extra-coronal Hinge Attachment for Partial Removable Denture,,2021-07-28,A61C 3/00,,,,2021-07-28,5
P6001297/2021,AUTOMATED ROBOTICS SYSTEM FOR LASER HAIR REMOVAL,,2021-07-28,A61B 34/32,,,,2021-07-28,5
P6001228/2021,REFINED EDIBLE OILS WITH MINERAL SUPPLEMENTS,,2021-07-15,A23D 7/005,,,,2021-07-15,5
P6001492/2021,Chrome dip topcoat system,,2021-08-23,C23C 2/00,,,,2021-08-23,5
P6001362/2021,METHOD AND APPARATUS FOR EXTENDING SHELF-LIFE OF MEAT &amp; POULTRY,,2021-08-03,B65D 81/00,,,,2021-08-03,5
P6001374/2021,"BELOW GRADE, BLIND SIDE, WATERPROOFING SHEET MEMBRANE WITH ADHESIVE AND HAVING MODERATE REFLECTIVITY GRANULAR PARTICLE LAYER TO FULLY BOND TO CONCRETE/SHOTCRETE, AND A METHOD OF MAKING, AND USING SAME",,2021-08-04,B32B 13/12,,,,2021-08-04,5
P6001653/2021,"PROCESS AND SYSTEM FOR PREPARING A HIGH-PROTEIN, LOW-LACTOSE MILK PRODUCT",,2021-09-15,A23C 13/14,,,,2021-09-15,5
P6001689/2021,UAV Charging System,,2021-09-21,B60L 53/00,,,,2021-09-21,5
P6001661/2021,CONDENSATION MEASUREMENT APPARATUS,,2021-09-16,G01F 25/00,,,,2021-09-16,5
P6001607/2021,CONSCIOUSNESS LEVEL DETERMINATION METHOD AND COMPUTER PROGRAM,,2021-09-09,A61B 5/00,,,,2021-09-09,5
P6001921/2021,Conscious brush,,2021-10-24,A46B 1/00,,,,2021-10-24,5
P6002136/2021,ABU DHABI - ALQUA,,2021-11-23,There are no classifications,,,,2021-11-23,5
P6002347/2021,METHOD AND APPARATUS FOR THE SIMULTANEOUS PRODUCTION OF HYDROGEN BASED ENERGY AND CLEAN WATER FROM A SALINE OR CONTAMINATED WATER SOURCE,,2021-12-21,There are no classifications,,,,2021-12-21,5
P6002330/2021,Signature Authentication Remotely in front of Public Notary and / or other public and privet entities,,2021-12-19,G06F 21/45,,,,2021-12-19,5
P6002374/2021,METHOD AND APPARATUS FOR THE SIMULTANEOUS PRODUCTION OF HYDROGEN BASED ENERGY AND CLEAN WATER FROM A SALINE OR CONTAMINATED WATER SOURCE,,2021-12-23,C02F 1/00,,,,2021-12-23,5
P6000069/2022,RUN-FLAT INSERT WITH WEDGE SHAPED PROTRUSION LOCKING SYSTEM,,2022-01-12,E05B 53/00,,,,2022-01-12,5
P6000157/2022,"Manual device for converting and reading the time in each of the world time zones according to the GMT system, that can be incorporated in a product such as handbag, wallet, metal or wooden box, bracelet, garment mainly made of leather.",,2022-01-27,There are no classifications,,,,2022-01-27,5
P6000335/2022,"SUSTAINABLE GREEN- HOUSE FOR PLANT GROWTH-  WITH TEMPERATURE, HUMIDITY AND LIGHT SPECTRUM WITH LOW WATER AND ENERGY REQUIREMENT",,2022-02-24,A01G 9/14,,,,2022-02-24,5
P6000348/2022,Smart Self_watering irrigation system,,2022-02-27,A01G 25/00,,,,2022-02-27,5
P6000243/2022,A dry mortar composition,,2022-02-11,"C04B 28/00, C04B 28/00",,,,2022-02-11,5
P6000511/2022,SOLAR PANEL ASSEMBLY AND SOLAR POWER SYSTEM INCLUDING SAME,,2022-03-22,F24S 20/00,,,,2022-03-22,5
P6000373/2022,"CAMEL SEMEN COLLECTION KIT, APPLICATOR THEREFOR AND METHOD OF USE",,2022-03-03,G01N 1/02,,,,2022-03-03,5
P6000636/2022,ANTI-DIABETIC STEROIDAL LACTONES OF WITHANIA COAGULANS FOR TREATMENT OF TYPE 2 DIABETES,,2022-04-08,A61K 31/365,,,,2022-04-08,5
P6000604/2022,EARLY DETECTION SYSTEM FOR RED PALM WEEVILE (RPW) USING AI & MACHINE LEARNING,,2022-04-05,There are no classifications,,,,2022-04-05,5
P6000656/2022,Redox Flow Battery Stack having Curved Design for Minimizing Pressure Drop,,2022-04-13,H01M 8/20,,,,2022-04-13,5
P6000842/2022,ABU DHABI MUSAFFAH M44,,2022-05-11,There are no classifications,,,,2022-05-11,5
P6000983/2022,AN ELEVATOR SLIDING TIE STRUCTURE SUITABLE FOR SLIP FORM CONSTRUCTION,,2022-05-30,There are no classifications,,,,2022-05-30,5
P6000848/2022,Production of Modified Hexakis Melamine Crosslinker Resin (Methoxy Methyl) to Enhance Paint and Coating Products Features,,2022-05-12,C09F 1/00,,,,2022-05-12,5
P6001217/2022,pipe coupling collar,,2022-06-24,F16L 21/08,,,,2022-06-24,5
P6001453/2022,HERBAL DRUG FOR TREATING BONE-RELATED DISORDERS AND A PROCESS OF PREPARING THEREOF,,2022-07-28,A61P 19/02,,,,2022-07-28,5
P6001724/2022,dubai albarsha2,,2022-08-31,There are no classifications,,,,2022-08-31,5
P6001509/2022,DISPOSABLE THREE DIMENSIONAL FILTER LID FOR BEVERAGE CONTAINERS USED TO PREPARE INSTANT TRADITIONAL MOROCCAN MINT TEA.,,2022-08-04,"A47G 19/22, B65B 7/28, B65D 47/06",,,,2022-08-04,5
P6001532/2022,LIGHTWEIGHT NANOPARTICLE COMPOSITION FOR A PROTECTIVE APPARATUS AND METHOD OF MAKING,,2022-08-07,C09D 7/00,,,,2022-08-07,5
P6001755/2022,Environmental Sustainable Energy Catalyst,,2022-09-03,F02M 27/02,,,,2022-09-03,5
P6001910/2022,Smart Medical Organizer,,2022-09-19,A61J 3/00,,,,2022-09-19,5
P6001827/2022,SYSTEM OF COOLING THE ELECTRONIC DEVICE,,2022-09-11,"H05K 7/20, H05K 7/20",,,,2022-09-11,5
P6001828/2022,Smart Traffic Lights,,2022-09-12,There are no classifications,,,,2022-09-12,5
P6001835/2022,"MODIFIED POLYVINYL BUTYRAL MATERIAL, AND PREPARATION AND APPLICATIONS THEREOF",,2022-09-12,B32B 17/10,,,,2022-09-12,5
P6001974/2022,WIND ROAD PROJECT,,2022-09-26,F03D 9/00,,,,2022-09-26,5
P6002192/2022,A SYSTEM FOR GENERATION AND MANAGEMENT OF BILLS,,2022-10-24,G06Q 40/00,,,,2022-10-24,5
P6002114/2022,Small sliding multiple plug,,2022-10-12,H01R 13/04,,,,2022-10-12,5
P6002179/2022,Self-service smart bicycle storage cabinets,,2022-10-21,B25H 3/00,,,,2022-10-21,5
P6002063/2022,Method of Thermal Processing of Non-organic Raw Material Particles and Appliance for its Performance,,2022-10-04,C08J 3/12,,,,2022-10-04,5
P6002230/2022,UAE Dubai,,2022-10-28,There are no classifications,,,,2022-10-28,5
P6002201/2022,Design Self-reinforced 3D Concrete Printing mixture using local UAE materials,,2022-10-24,C04B 28/02,,,,2022-10-24,5
P6002246/2022,Active Vision System for Achieving Sharp Vision,,2022-10-31,G03B 5/00,,,,2022-10-31,5
P6002408/2022,Specification list for UV Sterilizer,,2022-11-17,There are no classifications,,,,2022-11-17,5
P6002435/2022,A VERSATILE HYBRID HIGH POWER GENERATOR REINFORCED WITH A SOLAR PANEL SYSTEM FOR RECHARGING A BANK OF BATTERIES WITH SHORT STABILIZATION AND RECHARGING TIMES,,2022-11-21,H02J 7/00,,,,2022-11-21,5
P6002432/2022,UNMANNED AERIAL VEHICLE DETECTION AND LOCALIZATION WITH CELLULAR NETWORK INFRASTRUCTURE AUGMENTED BY RECONFIGURABLE INTELLIGENT SURFACES,,2022-11-20,G08G 5/00,,,,2022-11-20,5
P6002354/2022,HOPE TRACK BICYCLE,,2022-11-10,B62K 3/00,,,,2022-11-10,5
P6002679/2022,A SMART PRODUCT VENDING SYSTEM,,2022-12-15,G06Q 20/18,,,,2022-12-15,5
P6002623/2022,NFT-linked apparel via QR Code,,2022-12-08,D06J 1/00,,,,2022-12-08,5
P6002819/2022,IONIC LIQUIDS FOR ENERGY STORAGE SYSTEMS,,2022-12-29,H01M 8/18,,,,2022-12-29,5
P6002727/2022,ADHESIVE DISPENSING DEVICE AND METHOD OF DISPENSING AN ADHESIVE,,2022-12-21,B05C 11/00,,,,2022-12-21,5
P6002855/2022,PLANT LIGHTING SYSTEM,,2022-12-30,A01G 31/02,,,,2022-12-30,5
P6000148/2023,REAL-TIME PATIENT MONITORING DASHBOARD,,2023-01-19,There are no classifications,,,,2023-01-19,5
P6000226/2023,ONE TIME USE APPARATUS TO SMOKE TOBACCO,,2023-01-30,A24F 1/30,,,,2023-01-30,5
P6000147/2023,Patient Monitor,,2023-01-19,There are no classifications,,,,2023-01-19,5
P6000107/2023,METHOD AND SYSTEM FOR GENERATING DIGITAL KEYS ON A LOCAL SERVER AND SECURELY TRANSFERRING THEM TO A MOBILE USER DEVICE.,,2023-01-14,H04L 9/08,,,,2023-01-14,5
P6000180/2023,A DIGITAL STETHOSCOPE DEVICE AND ITS WORKING METHOD THEREOF,,2023-01-23,There are no classifications,,,,2023-01-23,5
P6000227/2023,"PRE-FILLED, SINGLE USE HOOKAH BIO-CAPSULE (HBC)",,2023-01-30,A24F 1/30,,,,2023-01-30,5
P6000128/2023,Kit-51 Fuel Economizer,,2023-01-18,G08G 1/14,,,,2023-01-18,5
P6000285/2023,Manufacture of Animal feed from Date Palm waste,,2023-02-07,There are no classifications,,,,2023-02-07,5
P6000433/2023,A PORTABLE SYSTEM TO IDENTIFY THE MUSCLE-BASED PROBLEMS IN A PATIENT&#39;S BODY,,2023-02-23,A61B 5/00,,,,2023-02-23,5
P6000579/2023,An Adjustable Handling and Lifting Device for Removing Truck Hub Mounting,,2023-03-13,B66C 1/00,,,,2023-03-13,5
P6000696/2023,PORTABLE ELECTRONIC MU&rsquo;ASSAL VAPORIZER,,2023-03-23,There are no classifications,,,,2023-03-23,5
P6000657/2023,Smart Police Cap for Focus Enhancing,,2023-03-21,A42B 1/00,,,,2023-03-21,5
P6000580/2023,An Aeroponics System and Apparatus Thereof,,2023-03-13,A01G 31/02,,,,2023-03-13,5
P6000757/2023,BUILD PLATE AND METHOD FOR DETACHING THREE-DIMENSIONAL PRINTED OBJECTS FROM THE SAME,,2023-03-31,B29C 64/171,,,,2023-03-31,5
P6000870/2023,MULTI TECH ENG. IND. LLC - BRANCH 2,,2023-04-14,There are no classifications,,,,2023-04-14,5
P6000871/2023,MULTI TECH ENG. IND. LLC - BRANCH 2,,2023-04-14,There are no classifications,,,,2023-04-14,5
P6000793/2023,A new concept of operation (CONOPS) for the use of Artificial Intelligence (AI) enabled autonomous and electrically powered push-back / tow tractors at the airports.,,2023-04-04,B64F 1/22,,,,2023-04-04,5
P6000841/2023,MULTI TECH ENG. IND. LLC - BRANCH 2,,2023-04-11,There are no classifications,,,,2023-04-11,5
P6000874/2023,MULTI TECH ENG. IND. LLC - BRANCH 2,,2023-04-14,There are no classifications,,,,2023-04-14,5
P6001218/2023,METHOD FOR IMPROVING ELECTRODE ACTIVITY,,2023-05-23,H01M 4/00,,,,2023-05-23,5
P6001118/2023,Al Mimari Industrial Co. LLC,,2023-05-15,There are no classifications,,,,2023-05-15,5
P6001287/2023,PROCESS FOR ACCURATE RADAR CROSS-SECTION EVALUATION USING RECONFIGURABLE INTELLIGENT SURFACES,,2023-05-30,"G01S 13/46, G01S 7/41",,,,2023-05-30,5
P6001262/2023,mozah mohamed saeed alsereidi,,2023-05-25,There are no classifications,,,,2023-05-25,5
P6001268/2023,DIRECTION FINDING SYSTEM BASED ON A LUNEBURG LENS DESIGN,,2023-05-26,G01S 13/42,,,,2023-05-26,5
P6001297/2023,AN ADAPTABLE EXTRUSION SYSTEM FOR 3D PRINTING,,2023-05-30,B29C 64/171,,,,2023-05-30,5
P6001610/2023,A SYSTEM AND A METHOD TO DISTORT IMAGE CAPTURING BY AN IMAGE CAPTURING DEVICE,,2023-06-21,H04N 5/232,,,,2023-06-21,5
P6001488/2023,Sterilizing cleaning lavatory machine,,2023-06-15,A47K 13/00,,,,2023-06-15,5
P6001494/2023,Method For Inducing Active Immune Tolerance By Generating A Vaccine From Autoreactive Apoptotic T Cell Clones,,2023-06-15,"A61P 37/06, A61P 3/10",,,,2023-06-15,5
P6001593/2023,"A METHOD FOR DETECTING, QUANTIFYING AND LOCALISING AN ELECTROLYTE LEAK IN A BATTERY",,2023-06-20,H01M 8/04,,,,2023-06-20,5
P6001646/2023,TOKENIZED VEHICLE LICENSE PLATE,,2023-06-23,G06F 7/04,,,,2023-06-23,5
P6001576/2023,STRENGTHENING CONCRETE STRUCTURE ELEMENTS USING HARDENED CAST ELASTOMER POLYURETHANE POLYUREA MATERIAL,,2023-06-20,There are no classifications,,,,2023-06-20,5
P6001621/2023,Smart Patrol Chamber,,2023-06-22,"B60P 3/025, B60P 3/32, E04H 1/12",,,,2023-06-22,5
P6001408/2023,METHOD AND SYSTEM FOR TREATMENT OF CO2 AND/OR HYDROCARBON GAS AND ITS USE IN PRODUCING AND/OR PROCESSING HYDROCARBONS,,2023-06-08,C01B 3/38,,,,2023-06-08,5
P6001379/2023,"REDUCING COMPOSITIONS AND PROCESSES FOR INCREASING EFFICIENCY IN PRODUCTION, TRANSPORT AND PROCESSING OF HYDROCARBONS",,2023-06-06,C02F 1/44,,,,2023-06-06,5
